id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,mths_since_last_major_derog,acc_now_delinq,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,is_good_customer
90531864,4500, 36 months, 12.79%,151.17,C,C1,,n/a,MORTGAGE,56000.0,Verified,n,debt_consolidation,Debt consolidation,770xx,TX,22.48,0,Apr-1987,1,,66.0,12,1,1821,5%,21,w,,0,129037,2,3,3,3,3.0,40458,90.0,1,4,904,52.0,36200,2,1,3,8,10753,23886.0,6.3,0,0,157.0,353,6,3,1,15.0,,6.0,,0,3,4,4,7,6,8,14,4,12,0.0,0,0,5,89.5,0.0,1,0,172519,42279,25500,44819,yes
90521796,25000, 60 months, 14.49%,588.08,C,C4,USA,10+ years,MORTGAGE,100000.0,Not Verified,n,debt_consolidation,Debt consolidation,985xx,WA,18.59,0,Nov-2005,0,48.0,,13,0,16315,45.6%,35,w,,0,214917,3,3,0,1,17.0,29736,26.0,3,5,2238,37.0,35800,1,9,2,8,16532,2762.0,44.8,0,0,126.0,130,2,2,3,6.0,48.0,5.0,48.0,0,1,4,1,9,7,9,25,4,13,0.0,0,0,4,97.1,0.0,0,0,273664,46051,5000,68764,yes
90270660,2000, 36 months, 13.49%,67.87,C,C2,Training & Education Manager,1 year,MORTGAGE,80000.0,Source Verified,n,medical,Medical expenses,890xx,NV,15.33,0,Jun-2002,1,41.0,,8,0,7820,72.4%,21,w,41.0,0,334288,2,3,2,2,12.0,39760,67.0,2,3,2443,68.0,10800,0,2,4,7,41786,57.0,97.7,0,0,171.0,140,4,1,6,75.0,43.0,3.0,43.0,2,1,4,1,2,6,4,9,4,8,0.0,0,0,5,85.7,100.0,0,0,356823,47580,2500,59315,yes
90611738,20000, 36 months,  8.99%,635.91,B,B1,,n/a,MORTGAGE,76332.0,Not Verified,n,debt_consolidation,Debt consolidation,982xx,WA,12.72,0,Dec-1992,1,31.0,,22,0,21600,22.5%,46,f,,0,322050,1,1,0,1,16.0,6306,63.0,3,5,10385,26.0,95800,0,2,3,7,16103,33349.0,34.6,0,0,123.0,285,4,4,3,4.0,56.0,4.0,31.0,0,5,7,7,12,9,19,33,7,22,0.0,0,0,3,95.7,0.0,0,0,405800,27906,51000,10000,yes
90692987,35000, 60 months, 15.59%,843.53,C,C5,Vice president of culinary,1 year,MORTGAGE,220000.0,Source Verified,n,home_improvement,Home improvement,852xx,AZ,9.62,0,Jun-1999,1,39.0,,11,0,33719,28.2%,27,w,55.0,0,572786,2,2,1,3,11.0,32775,70.0,1,4,20976,40.0,119400,8,0,8,8,52071,84681.0,28.5,0,0,66.0,207,4,4,4,4.0,,0.0,39.0,2,4,4,7,12,4,8,18,4,11,0.0,0,0,3,92.3,14.3,0,0,673762,66494,118400,46682,yes
90211258,14850, 60 months, 18.99%,385.14,D,D3,truck driver,10+ years,MORTGAGE,65000.0,Verified,n,credit_card,Credit card refinancing,360xx,AL,3.32,0,Jul-2005,1,34.0,,7,0,9112,56.6%,22,w,34.0,0,73044,1,0,0,0,28.0,0,,3,5,2941,57.0,16100,0,1,3,6,12174,2309.0,71.1,0,0,134.0,117,2,2,3,2.0,,2.0,,2,3,5,3,3,12,6,6,5,7,0.0,0,0,4,95.0,66.7,0,0,82766,9112,8000,0,no
90191117,2000, 36 months, 18.99%,73.31,D,D3,boxing,5 years,RENT,34000.0,Verified,n,credit_card,Credit card refinancing,926xx,CA,8.82,1,Jul-2003,0,17.0,,4,0,5881,51.1%,11,w,,0,9163,1,1,1,2,12.0,3282,82.0,1,1,915,59.0,11500,1,0,1,3,2291,4585.0,16.6,0,0,147.0,122,0,0,3,29.0,,12.0,17.0,0,1,2,1,2,3,3,5,2,4,0.0,0,0,2,90.9,0.0,0,0,15500,9163,5500,4000,yes
90611716,4000, 36 months, 10.99%,130.94,B,B4,Quality Tech,9 years,MORTGAGE,60000.0,Verified,n,debt_consolidation,Debt consolidation,467xx,IN,23.5,1,Feb-2005,0,5.0,67.0,15,1,26838,61.8%,23,f,56.0,0,58879,1,1,1,1,4.0,18112,94.0,2,2,8477,72.0,43400,1,0,3,3,4206,1607.0,91.3,0,0,110.0,139,7,4,1,8.0,,4.0,5.0,1,5,9,5,8,3,13,18,9,15,0.0,0,0,3,87.0,100.0,0,0,80539,44950,18400,19290,yes
90280064,1800, 36 months, 14.49%,61.95,C,C4,Shipping ,5 years,MORTGAGE,56000.0,Source Verified,n,other,Other,451xx,OH,19.97,0,Sep-2007,0,,,6,0,6509,63.2%,12,w,,0,193819,1,2,1,2,1.0,54444,100.0,0,1,6285,87.0,10300,0,4,1,4,32303,3791.0,63.2,0,0,70.0,108,15,1,1,15.0,,1.0,,0,2,2,3,3,5,3,6,2,6,0.0,0,0,2,100.0,33.3,0,0,207056,60953,10300,62446,yes
90591281,4800, 36 months, 15.59%,167.79,C,C5,care giver,8 years,OWN,47200.0,Source Verified,n,other,Other,880xx,NM,15.38,0,Mar-2012,1,,,6,0,4950,31.1%,6,w,,0,26507,4,1,1,1,5.0,21557,95.0,3,3,323,69.0,15900,2,0,4,4,4418,3277.0,9.0,0,0,5.0,54,1,1,0,6.0,,5.0,,0,1,5,1,1,1,5,5,5,6,0.0,0,0,4,100.0,0.0,0,0,38645,26507,3600,22745,yes
