loan_amnt,term,emp_title,emp_length,home_ownership,annual_inc,purpose,is_good_customer
10000,36,parts sales,10,2,55000.0,11,1
10000,60,Nursing assistant ,6,0,32000.0,1,0
6000,36,Business Manager,5,0,58000.0,2,1
6000,36,vine worker,1,0,32000.0,3,1
7500,36,Registered Nurse,0,0,76000.0,1,0
6500,36,Clinical Nurse ,0,0,95000.0,11,1
2400,36,Secretary,1,0,20160.0,0,0
5000,36,Strategic Acct Mgr (Sales),10,0,78000.0,2,1
12000,36,Owner,8,1,92000.0,2,1
6950,36,Reverse Mortgage Specialist,2,1,50000.0,3,1
2000,36,security officer,2,0,24000.0,11,1
21250,60,,0,2,48309.0,2,0
25000,36,Insurance Agent,2,1,76000.0,1,0
9000,36,Lab Tech,3,2,48000.0,1,1
8000,36,Accounting Manager,0,0,70000.0,2,1
5200,36,Plasterer/Mason,10,2,40000.0,2,1
10000,36,Wealth Manager,0,0,85000.0,7,0
10800,36,Broadband Tech,10,2,80000.0,2,1
7250,36,REGISTERED NURSE,3,2,72000.0,2,1
28000,36,V.P.,10,1,119000.0,3,1
12000,60,Dining Server/Bartender ,10,2,56000.0,2,0
24000,36,Training specialist ,0,2,116000.0,2,0
28000,60,Gas Plant Operator,9,2,85000.0,2,1
8500,36,Tractor trailer op,10,2,75000.0,2,1
5900,36,Bus Driver,3,2,21000.0,1,1
8400,36,,0,1,24000.0,2,1
5000,36,Bus driver ,10,0,62000.0,1,1
25000,60,IT Manager,0,0,110000.0,2,0
35000,36,General Manager,10,2,84000.0,2,0
25000,60,Ecommerce Manager,1,2,93000.0,2,1
20000,36,Curriculum Specialist,10,1,72000.0,2,1
10000,36,mechanic,6,2,58000.0,1,1
20000,60,Assembly,10,2,75000.0,2,1
28700,36,VP Sales,1,1,205000.0,1,1
21000,60,Consultant,10,2,130000.0,9,0
20000,60,regional Director,1,2,110000.0,2,0
9800,36,Probation Officer,10,0,70000.0,11,0
7200,36,Mechanic,10,2,49000.0,2,1
25000,36,Athlete,7,0,100000.0,2,1
21000,36,Office Manager,5,0,60000.0,2,0
30000,60,Accounting Analyst,3,2,62000.0,2,1
16000,60,Fire fighter,10,2,69000.0,3,1
10000,36,Professor,5,0,75000.0,2,0
10000,36,Bankru,10,2,46820.0,2,0
11200,60,Table Games Supervisor,10,2,80000.0,2,0
8200,36,manager,10,2,38000.0,2,1
12000,60,Patent Engineer,0,0,65000.0,2,1
5000,36,Nurse Practitioner ,1,2,112000.0,11,1
5000,36,Crane Operator ,6,0,75000.0,2,0
3150,36,Telecommunications ,10,0,60000.0,11,1
30000,60,Paramedic,10,2,81000.0,2,1
9600,36,Assistant Chief,10,2,85000.0,2,1
9650,36,Tax Accountant,10,2,64000.0,2,1
